Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200130,AMZN,04:23,04:23:00.000000000,1845.05,200,1857.00,100,,,,04:23:46.976756923,1846.86,100,04:23:00.000000000,1857.00,100,,,,04:23:00.000000000,1845.05,200,04:23:00.000000000,1857.00,100,,,,04:23:59.999999999,1846.86,100,1857.00,100,,,,10.14,11.95,,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.29707,1857.00
20200130,AMZN,04:24,04:24:00.000000000,1846.86,100,1857.00,100,04:24:00.730068807,1855.27,10,04:24:52.471970784,1850.19,100,04:24:00.000000000,1857.00,100,04:24:00.730068807,1855.27,10,04:24:00.776855970,1845.05,100,04:24:00.000000000,1857.00,100,04:24:13.340525152,1852.00,20,04:24:59.999999999,1850.19,100,1857.00,100,04:24:13.340525152,1852.00,20,6.81,11.95,,1853.09,36,0,0,0,30,0,0,30,2,0,,10,20,0,0,0,176.33333,0.16419,1847.17006,1857.00
20200130,AMZN,04:25,04:25:00.000000000,1850.19,100,1857.00,100,04:25:32.227926915,1856.59,13,04:25:00.254349143,1851.00,100,04:25:00.000000000,1857.00,100,04:25:32.227926915,1856.59,13,04:25:46.978134438,1850.00,100,04:25:46.907425920,1851.00,200,04:25:46.889426819,1851.00,80,04:25:59.999999999,1850.01,100,1857.00,200,04:25:50.421115326,1851.00,2,0.99,7.00,,1851.68264,28,0,409,0,13,120,0,542,18,0,,42,283,0,217,0,-123.69465,-0.08381,1850.77812,1856.99972
20200130,AMZN,04:26,04:26:00.000000000,1850.01,100,1857.00,200,,,,04:26:07.375441867,1850.97,100,04:26:00.000000000,1857.00,200,,,,04:26:00.000000000,1850.01,100,04:26:00.000000000,1857.00,200,,,,04:26:59.999999999,1850.75,100,1857.00,100,,,,6.03,6.99,,,88,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1850.3526,1857.00
20200130,AMZN,04:27,04:27:00.000000000,1850.75,100,1857.00,100,,,,04:27:26.831474483,1851.00,100,04:27:00.000000000,1857.00,100,,,,04:27:00.000000000,1850.75,100,04:27:00.000000000,1857.00,100,,,,04:27:59.999999999,1851.00,100,1857.00,100,,,,6.00,6.25,,,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1850.8882,1857.00
20200130,AMZN,04:28,04:28:00.000000000,1851.00,100,1857.00,100,,,,04:28:00.000000000,1851.00,100,04:28:00.000000000,1857.00,100,,,,04:28:00.000000000,1851.00,100,04:28:00.000000000,1857.00,100,,,,04:28:59.999999999,1851.00,100,1857.00,200,,,,6.00,6.00,,,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1851.00,1857.00
20200130,AMZN,04:29,04:29:00.000000000,1851.00,100,1857.00,200,04:29:46.071121473,1855.77,1,04:29:00.000000000,1851.00,100,04:29:00.000000000,1857.00,200,04:29:46.071121473,1855.77,1,04:29:00.000000000,1851.00,100,04:29:00.000000000,1857.00,200,04:29:46.071121473,1855.77,1,04:29:59.999999999,1851.00,100,1857.00,100,04:29:46.071121473,1855.77,1,6.00,6.00,,1855.77,86,0,0,0,1,0,0,1,1,0,,1,0,0,0,0,177.00,0.295,1851.00,1857.00
20200130,AMZN,04:30,04:30:00.000000000,1851.00,100,1857.00,100,,,,04:30:00.000000000,1851.00,100,04:30:00.000000000,1857.00,100,,,,04:30:00.000000000,1851.00,100,04:30:00.000000000,1857.00,100,,,,04:30:59.999999999,1851.00,100,1857.00,100,,,,6.00,6.00,,,84,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1851.00,1857.00
20200130,AMZN,04:31,04:31:00.000000000,1851.00,100,1857.00,100,,,,04:31:00.000000000,1851.00,100,04:31:00.000000000,1857.00,100,,,,04:31:00.000000000,1851.00,100,04:31:00.000000000,1857.00,100,,,,04:31:59.999999999,1851.00,100,1857.00,200,,,,6.00,6.00,,,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1851.00,1857.00
20200130,AMZN,04:32,04:32:00.000000000,1851.00,100,1857.00,200,,,,04:32:00.000000000,1851.00,100,04:32:18.703552884,1865.00,100,,,,04:32:00.000000000,1851.00,100,04:32:00.000000000,1857.00,200,,,,04:32:59.999999999,1851.00,100,1865.00,100,,,,6.00,14.00,,,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1851.00,1862.50619
